figure_id,title,tier,claim_supported,source_table,png_path,pdf_path
C001,Post-deduplication eligible observations,core,Shows class support after verified duplicate exclusion.,eligible_label_summary_3l,paper_visuals_3l\figures_png\C001_eligible_rows_by_farm_label.png,paper_visuals_3l\figures_pdf\C001_eligible_rows_by_farm_label.pdf
C002,Within-farm class composition,core,Shows farm-specific class imbalance without conflating farm size.,eligible_label_summary_3l,paper_visuals_3l\figures_png\C002_class_composition_by_farm.png,paper_visuals_3l\figures_pdf\C002_class_composition_by_farm.pdf
C003,Eligible event files by farm and class,core,Shows independent event support for each class.,eligible_label_summary_3l,paper_visuals_3l\figures_png\C003_eligible_events_by_farm_label.png,paper_visuals_3l\figures_pdf\C003_eligible_events_by_farm_label.pdf
C004,Eligible physical assets by farm and class,core,Shows the asset-level support available for leakage-safe evaluation.,eligible_label_summary_3l,paper_visuals_3l\figures_png\C004_eligible_assets_by_farm_label.png,paper_visuals_3l\figures_pdf\C004_eligible_assets_by_farm_label.pdf
C005,Overall class support,core,Summarizes the final row-level class balance.,eligible_3l,paper_visuals_3l\figures_png\C005_overall_class_support.png,paper_visuals_3l\figures_pdf\C005_overall_class_support.pdf
C006,Event size distribution,core,Shows event-size heterogeneity across farms and classes.,event_summary_3l,paper_visuals_3l\figures_png\C006_event_size_distribution.png,paper_visuals_3l\figures_pdf\C006_event_size_distribution.pdf
C007,Eligible observations by asset,core,Identifies concentration of row support in particular assets.,asset_summary_3l,paper_visuals_3l\figures_png\C007_asset_row_support.png,paper_visuals_3l\figures_pdf\C007_asset_row_support.pdf
C008,Eligible event files by asset,core,Identifies the number of independent events contributed by each asset.,asset_summary_3l,paper_visuals_3l\figures_png\C008_asset_event_support.png,paper_visuals_3l\figures_pdf\C008_asset_event_support.pdf
C009,Anomaly-to-normal row ratio by asset,core,Shows asset-level class imbalance among assets with normal support.,row_pivot_3l,paper_visuals_3l\figures_png\C009_asset_row_class_ratio.png,paper_visuals_3l\figures_pdf\C009_asset_row_class_ratio.pdf
C010,Anomaly-to-normal event ratio by asset,core,Shows imbalance in independent event support rather than row volume.,event_pivot_3l,paper_visuals_3l\figures_png\C010_asset_event_class_ratio.png,paper_visuals_3l\figures_pdf\C010_asset_event_class_ratio.pdf
C011,Event duration distribution,core,Shows whether event windows differ materially by source and class.,event_summary_3l,paper_visuals_3l\figures_png\C011_event_duration_distribution.png,paper_visuals_3l\figures_pdf\C011_event_duration_distribution.pdf
C012,Event duration versus rows,core,Checks whether event size is primarily explained by temporal duration.,event_summary_3l,paper_visuals_3l\figures_png\C012_event_duration_vs_rows.png,paper_visuals_3l\figures_pdf\C012_event_duration_vs_rows.pdf
C013,Median within-event sampling interval,core,Verifies sampling cadence comparability across farms and classes.,event_summary_3l,paper_visuals_3l\figures_png\C013_median_sampling_interval.png,paper_visuals_3l\figures_pdf\C013_median_sampling_interval.pdf
C014,Sampling gap distribution,core,Shows long within-event sampling gaps that may affect window construction.,event_summary_3l,paper_visuals_3l\figures_png\C014_sampling_gap_distribution.png,paper_visuals_3l\figures_pdf\C014_sampling_gap_distribution.pdf
C015,Monthly rows by farm,core,Shows temporal coverage and source-specific acquisition periods.,eligible_3l,paper_visuals_3l\figures_png\C015_monthly_rows_by_farm.png,paper_visuals_3l\figures_pdf\C015_monthly_rows_by_farm.pdf
C016,Monthly rows by class,core,Shows whether class support is temporally separated.,eligible_3l,paper_visuals_3l\figures_png\C016_monthly_rows_by_label.png,paper_visuals_3l\figures_pdf\C016_monthly_rows_by_label.pdf
C017,Cumulative class support,core,Shows how class evidence accumulates over the observation horizon.,eligible_3l,paper_visuals_3l\figures_png\C017_cumulative_rows_by_label.png,paper_visuals_3l\figures_pdf\C017_cumulative_rows_by_label.pdf
C018,Hourly sampling profile,core,Checks for class-dependent hour-of-day acquisition bias.,eligible_3l,paper_visuals_3l\figures_png\C018_hourly_sampling_profile.png,paper_visuals_3l\figures_pdf\C018_hourly_sampling_profile.pdf
C019,UTC weekday sampling profile,core,Checks for class-dependent day-of-week acquisition bias.,eligible_3l,paper_visuals_3l\figures_png\C019_weekday_sampling_profile.png,paper_visuals_3l\figures_pdf\C019_weekday_sampling_profile.pdf
C020,Anomaly observations by weekday and UTC hour,core,Shows the temporal acquisition footprint of anomaly observations.,eligible_3l,paper_visuals_3l\figures_png\C020_anomaly_weekday_hour_heatmap.png,paper_visuals_3l\figures_pdf\C020_anomaly_weekday_hour_heatmap.pdf
C021,Normal observations by weekday and UTC hour,core,Shows the temporal acquisition footprint of normal observations.,eligible_3l,paper_visuals_3l\figures_png\C021_normal_weekday_hour_heatmap.png,paper_visuals_3l\figures_pdf\C021_normal_weekday_hour_heatmap.pdf
C022,Manifest disposition counts,core,"Shows eligible, exact-copy-excluded, and other non-modeling rows.",status_summary_3l,paper_visuals_3l\figures_png\C022_manifest_status_counts.png,paper_visuals_3l\figures_pdf\C022_manifest_status_counts.pdf
C023,Manifest disposition shares,core,Normalizes manifest decisions for comparison across differently sized farms.,status_summary_3l,paper_visuals_3l\figures_png\C023_manifest_status_shares.png,paper_visuals_3l\figures_pdf\C023_manifest_status_shares.pdf
C024,Canonical-retention effect,core,"Shows the exact 1,009-row eligibility reduction without deleting data.",manifest_3l,paper_visuals_3l\figures_png\C024_dedup_before_after.png,paper_visuals_3l\figures_pdf\C024_dedup_before_after.pdf
C025,Canonical retention by farm,core,Localizes the exact-copy exclusion to its source farm.,manifest_3l,paper_visuals_3l\figures_png\C025_dedup_by_farm.png,paper_visuals_3l\figures_pdf\C025_dedup_by_farm.pdf
C026,Verified exact-copy exclusions by event,core,Identifies the redundant source event affected by canonical retention.,manifest_3l,paper_visuals_3l\figures_png\C026_excluded_rows_by_event.png,paper_visuals_3l\figures_pdf\C026_excluded_rows_by_event.pdf
C027,Duplicate overlap timeline,core,Shows the seven-day interval covered by verified exact copies.,EXACT_SAME_LABEL_CANONICAL_RETENTION_AUDIT,paper_visuals_3l\figures_png\C027_duplicate_overlap_timeline.png,paper_visuals_3l\figures_pdf\C027_duplicate_overlap_timeline.pdf
C028,Canonical row mapping,core,Demonstrates deterministic one-to-one source-row retention.,EXACT_SAME_LABEL_CANONICAL_RETENTION_AUDIT,paper_visuals_3l\figures_png\C028_retained_excluded_row_mapping.png,paper_visuals_3l\figures_pdf\C028_retained_excluded_row_mapping.pdf
C029,Event temporal coverage,core,Shows separation and overlap among eligible event windows.,event_summary_3l,paper_visuals_3l\figures_png\C029_event_temporal_coverage.png,paper_visuals_3l\figures_pdf\C029_event_temporal_coverage.pdf
C030,Longest eligible event windows,core,Identifies events with the widest temporal support.,event_summary_3l,paper_visuals_3l\figures_png\C030_longest_events.png,paper_visuals_3l\figures_pdf\C030_longest_events.pdf
C031,Largest eligible event files,core,Identifies events dominating the row-level dataset.,event_summary_3l,paper_visuals_3l\figures_png\C031_largest_events.png,paper_visuals_3l\figures_pdf\C031_largest_events.pdf
C032,Eligible observations by asset and class,core,Shows asset-by-class row support and missing class combinations.,asset_label_rows_3l,paper_visuals_3l\figures_png\C032_asset_label_row_heatmap.png,paper_visuals_3l\figures_pdf\C032_asset_label_row_heatmap.pdf
C033,Eligible event files by asset and class,core,Shows independent event support for every asset-class combination.,asset_label_events_3l,paper_visuals_3l\figures_png\C033_asset_label_event_heatmap.png,paper_visuals_3l\figures_pdf\C033_asset_label_event_heatmap.pdf
C034,Monthly acquisition footprint by farm,core,Shows whether farms occupy distinct calendar periods.,monthly_farm_3l,paper_visuals_3l\figures_png\C034_farm_month_activity_heatmap.png,paper_visuals_3l\figures_pdf\C034_farm_month_activity_heatmap.pdf
C035,Farm temporal coverage,core,Summarizes the observation horizon of each farm.,farm_temporal_summary_3l,paper_visuals_3l\figures_png\C035_farm_temporal_coverage.png,paper_visuals_3l\figures_pdf\C035_farm_temporal_coverage.pdf
F0101,Farm A event timeline,supplement,"Shows within-farm event ordering, overlap, and class identity.",event_summary_3l,paper_visuals_3l\figures_png\F0101_farm_a_event_timeline.png,paper_visuals_3l\figures_pdf\F0101_farm_a_event_timeline.pdf
F0102,Farm A monthly class support,supplement,Shows temporal separation of normal and anomaly evidence within the farm.,eligible_3l,paper_visuals_3l\figures_png\F0102_farm_a_monthly_labels.png,paper_visuals_3l\figures_pdf\F0102_farm_a_monthly_labels.pdf
F0103,Farm A: eligible observations by asset,supplement,Shows within-farm concentration of evidence by asset.,asset_summary_3l,paper_visuals_3l\figures_png\F0103_farm_a_asset_ranking.png,paper_visuals_3l\figures_pdf\F0103_farm_a_asset_ranking.pdf
F0201,Farm B event timeline,supplement,"Shows within-farm event ordering, overlap, and class identity.",event_summary_3l,paper_visuals_3l\figures_png\F0201_farm_b_event_timeline.png,paper_visuals_3l\figures_pdf\F0201_farm_b_event_timeline.pdf
F0202,Farm B monthly class support,supplement,Shows temporal separation of normal and anomaly evidence within the farm.,eligible_3l,paper_visuals_3l\figures_png\F0202_farm_b_monthly_labels.png,paper_visuals_3l\figures_pdf\F0202_farm_b_monthly_labels.pdf
F0203,Farm B: eligible observations by asset,supplement,Shows within-farm concentration of evidence by asset.,asset_summary_3l,paper_visuals_3l\figures_png\F0203_farm_b_asset_ranking.png,paper_visuals_3l\figures_pdf\F0203_farm_b_asset_ranking.pdf
F0301,Farm C event timeline,supplement,"Shows within-farm event ordering, overlap, and class identity.",event_summary_3l,paper_visuals_3l\figures_png\F0301_farm_c_event_timeline.png,paper_visuals_3l\figures_pdf\F0301_farm_c_event_timeline.pdf
F0302,Farm C monthly class support,supplement,Shows temporal separation of normal and anomaly evidence within the farm.,eligible_3l,paper_visuals_3l\figures_png\F0302_farm_c_monthly_labels.png,paper_visuals_3l\figures_pdf\F0302_farm_c_monthly_labels.pdf
F0303,Farm C: eligible observations by asset,supplement,Shows within-farm concentration of evidence by asset.,asset_summary_3l,paper_visuals_3l\figures_png\F0303_farm_c_asset_ranking.png,paper_visuals_3l\figures_pdf\F0303_farm_c_asset_ranking.pdf
A001,farm_a::asset_0 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A001_farm_a_asset_0_daily_activity.png,paper_visuals_3l\figures_pdf\A001_farm_a_asset_0_daily_activity.pdf
A002,farm_a::asset_10 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A002_farm_a_asset_10_daily_activity.png,paper_visuals_3l\figures_pdf\A002_farm_a_asset_10_daily_activity.pdf
A003,farm_a::asset_11 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A003_farm_a_asset_11_daily_activity.png,paper_visuals_3l\figures_pdf\A003_farm_a_asset_11_daily_activity.pdf
A004,farm_a::asset_13 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A004_farm_a_asset_13_daily_activity.png,paper_visuals_3l\figures_pdf\A004_farm_a_asset_13_daily_activity.pdf
A005,farm_a::asset_21 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A005_farm_a_asset_21_daily_activity.png,paper_visuals_3l\figures_pdf\A005_farm_a_asset_21_daily_activity.pdf
A006,farm_b::asset_0 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A006_farm_b_asset_0_daily_activity.png,paper_visuals_3l\figures_pdf\A006_farm_b_asset_0_daily_activity.pdf
A007,farm_b::asset_11 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A007_farm_b_asset_11_daily_activity.png,paper_visuals_3l\figures_pdf\A007_farm_b_asset_11_daily_activity.pdf
A008,farm_b::asset_12 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A008_farm_b_asset_12_daily_activity.png,paper_visuals_3l\figures_pdf\A008_farm_b_asset_12_daily_activity.pdf
A009,farm_b::asset_13 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A009_farm_b_asset_13_daily_activity.png,paper_visuals_3l\figures_pdf\A009_farm_b_asset_13_daily_activity.pdf
A010,farm_b::asset_14 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A010_farm_b_asset_14_daily_activity.png,paper_visuals_3l\figures_pdf\A010_farm_b_asset_14_daily_activity.pdf
A011,farm_b::asset_2 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A011_farm_b_asset_2_daily_activity.png,paper_visuals_3l\figures_pdf\A011_farm_b_asset_2_daily_activity.pdf
A012,farm_b::asset_5 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A012_farm_b_asset_5_daily_activity.png,paper_visuals_3l\figures_pdf\A012_farm_b_asset_5_daily_activity.pdf
A013,farm_b::asset_6 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A013_farm_b_asset_6_daily_activity.png,paper_visuals_3l\figures_pdf\A013_farm_b_asset_6_daily_activity.pdf
A014,farm_b::asset_7 daily activity,supplement,Shows asset-specific temporal and class coverage used for grouped splitting.,eligible_3l,paper_visuals_3l\figures_png\A014_farm_b_asset_7_daily_activity.png,paper_visuals_3l\figures_pdf\A014_farm_b_asset_7_daily_activity.pdf
